Year,LGA,Subgroup,Count
2020,Baw Baw,B322 Non-residential non-aggravated burglary,10
2020,Benalla,B321 Residential non-aggravated burglary,2
2020,Benalla,B322 Non-residential non-aggravated burglary,3
2020,Boroondara,B322 Non-residential non-aggravated burglary,1
2020,East Gippsland,B321 Residential non-aggravated burglary,1
2020,East Gippsland,B322 Non-residential non-aggravated burglary,4
2020,Greater Shepparton,B321 Residential non-aggravated burglary,13
2020,Greater Shepparton,B322 Non-residential non-aggravated burglary,12
2020,Indigo,B322 Non-residential non-aggravated burglary,5
2020,Knox,B321 Residential non-aggravated burglary,1
2020,Knox,B322 Non-residential non-aggravated burglary,1
2020,Latrobe,B321 Residential non-aggravated burglary,7
2020,Latrobe,B322 Non-residential non-aggravated burglary,8
2020,Mansfield,B322 Non-residential non-aggravated burglary,1
2020,Mitchell,B311 Residential aggravated burglary,1
2020,Mitchell,B321 Residential non-aggravated burglary,5
2020,Mitchell,B322 Non-residential non-aggravated burglary,12
2020,Moira,B321 Residential non-aggravated burglary,6
2020,Moira,B322 Non-residential non-aggravated burglary,10
2020,Murrindindi,B321 Residential non-aggravated burglary,3
2020,Murrindindi,B322 Non-residential non-aggravated burglary,3
2020,South Gippsland,B321 Residential non-aggravated burglary,8
2020,South Gippsland,B322 Non-residential non-aggravated burglary,2
2020,Strathbogie,B321 Residential non-aggravated burglary,8
2020,Strathbogie,B322 Non-residential non-aggravated burglary,4
2020,Towong,B321 Residential non-aggravated burglary,3
2020,Wangaratta,B321 Residential non-aggravated burglary,1
2020,Wellington,B311 Residential aggravated burglary,1
2020,Wellington,B321 Residential non-aggravated burglary,5
2020,Wellington,B322 Non-residential non-aggravated burglary,5
2020,Wodonga,B312 Non-residential aggravated burglary,1
2020,Yarra Ranges,B321 Residential non-aggravated burglary,6
2020,Yarra Ranges,B322 Non-residential non-aggravated burglary,14
2020,Cardinia,B321 Residential non-aggravated burglary,12
2020,Cardinia,B322 Non-residential non-aggravated burglary,12
2020,Casey,B321 Residential non-aggravated burglary,4
2020,Casey,B322 Non-residential non-aggravated burglary,5
2020,Frankston,B322 Non-residential non-aggravated burglary,2
2020,Greater Dandenong,B321 Residential non-aggravated burglary,1
2020,Greater Dandenong,B322 Non-residential non-aggravated burglary,3
2020,Kingston,B322 Non-residential non-aggravated burglary,2
2020,Mornington Peninsula,B311 Residential aggravated burglary,1
2020,Mornington Peninsula,B321 Residential non-aggravated burglary,8
2020,Mornington Peninsula,B322 Non-residential non-aggravated burglary,9
2020,Port Phillip,B322 Non-residential non-aggravated burglary,1
2020,Ararat,B321 Residential non-aggravated burglary,3
2020,Ararat,B322 Non-residential non-aggravated burglary,4
2020,Ballarat,B321 Residential non-aggravated burglary,3
2020,Ballarat,B322 Non-residential non-aggravated burglary,4
2020,Buloke,B321 Residential non-aggravated burglary,3
2020,Buloke,B322 Non-residential non-aggravated burglary,4
2020,Campaspe,B321 Residential non-aggravated burglary,4
2020,Campaspe,B322 Non-residential non-aggravated burglary,9
2020,Central Goldfields,B322 Non-residential non-aggravated burglary,3
2020,Colac-Otway,B321 Residential non-aggravated burglary,8
2020,Colac-Otway,B322 Non-residential non-aggravated burglary,1
2020,Corangamite,B321 Residential non-aggravated burglary,4
2020,Corangamite,B322 Non-residential non-aggravated burglary,7
2020,Gannawarra,B321 Residential non-aggravated burglary,3
2020,Gannawarra,B322 Non-residential non-aggravated burglary,1
2020,Glenelg,B311 Residential aggravated burglary,1
2020,Glenelg,B321 Residential non-aggravated burglary,2
2020,Glenelg,B322 Non-residential non-aggravated burglary,4
2020,Golden Plains,B321 Residential non-aggravated burglary,3
2020,Golden Plains,B322 Non-residential non-aggravated burglary,8
2020,Greater Bendigo,B321 Residential non-aggravated burglary,8
2020,Greater Bendigo,B322 Non-residential non-aggravated burglary,11
2020,Greater Geelong,B321 Residential non-aggravated burglary,5
2020,Greater Geelong,B322 Non-residential non-aggravated burglary,7
2020,Hepburn,B321 Residential non-aggravated burglary,6
2020,Hepburn,B322 Non-residential non-aggravated burglary,2
2020,Hindmarsh,B322 Non-residential non-aggravated burglary,1
2020,Horsham,B321 Residential non-aggravated burglary,1
2020,Horsham,B322 Non-residential non-aggravated burglary,3
2020,Loddon,B321 Residential non-aggravated burglary,2
2020,Loddon,B322 Non-residential non-aggravated burglary,9
2020,Macedon Ranges,B321 Residential non-aggravated burglary,8
2020,Macedon Ranges,B322 Non-residential non-aggravated burglary,8
2020,Mildura,B311 Residential aggravated burglary,1
2020,Mildura,B321 Residential non-aggravated burglary,4
